ID,sentiment,content
90001,anger,I am absolutely furious right now and I want to scream.
90002,anger,Get out of my face before I lose my temper completely.
90003,anger,I hate this so much, it makes my blood boil.
90004,anger,Stop annoying me, you are making me so mad.
90005,anger,This is the worst thing ever and I am enraged.
90006,anger,I want to break something I am so angry.
90007,anger,How dare you say that to me, shut up.
90008,anger,My rage is building up and I can't control it.
90009,anger,I am sick and tired of your stupidity.
90010,anger,Don't ever talk to me again, I hate you.
90011,disgust,That is absolutely revolting and gross.
90012,disgust,I feel sick just looking at that filth.
90013,disgust,Get that away from me, it smells vile.
90014,disgust,I want to vomit, that is so disgusting.
90015,disgust,This food tastes like garbage, yuck.
90016,disgust,You are a repulsive human being.
90017,disgust,The smell of rot is making me nauseous.
90018,disgust,Ew, don't touch me with those dirty hands.
90019,disgust,That puts a bad taste in my mouth.
90020,disgust,I find your behavior completely repugnant.
90021,fear,I am terrified and I want to run away.
90022,fear,Please don't hurt me, I am scared.
90023,fear,My heart is racing, I feel panic setting in.
90024,fear,I am afraid of the dark and being alone.
90025,fear,Help me, there is someone following me.
90026,fear,I am shaking with terror right now.
90027,fear,What was that noise? I am frightened.
90028,fear,I have a feeling of dread in my stomach.
90029,fear,Don't leave me here, it's too dangerous.
90030,fear,I froze in horror when I saw it.
90031,guilt,I am so sorry for what I did to you.
90032,guilt,It is all my fault and I feel terrible.
90033,guilt,I apologize for my mistake, please forgive me.
90034,guilt,I regret saying those mean things.
90035,guilt,I feel guilty about lying to you.
90036,guilt,I should have known better, my bad.
90037,guilt,I take full responsibility for this mess.
90038,guilt,My conscience is eating me alive.
90039,guilt,I wish I could take it back, I am sorry.
90040,guilt,I feel bad for hurting your feelings.
90041,joy,I am so happy and excited today!
90042,joy,This is the best day of my life, amazing.
90043,joy,I can't stop smiling, this is wonderful.
90044,joy,We won the game! I am ecstatic.
90045,joy,Everything is perfect and I feel great.
90046,joy,I am laughing so hard my sides hurt.
90047,joy,What a fantastic surprise, thank you!
90048,joy,I am full of energy and cheerfulness.
90049,joy,This makes me feel so good inside.
90050,joy,Hooray, we finally did it!
90051,sadness,I can't stop crying, I am so heartbroken.
90052,sadness,I feel empty and lonely inside.
90053,sadness,Everything feels gray and hopeless today.
90054,sadness,I miss him so much it hurts.
90055,sadness,I am depressed and don't want to get out of bed.
90056,sadness,Tears are streaming down my face.
90057,sadness,It is a tragedy and I am devastated.
90058,sadness,I feel a deep sorrow in my soul.
90059,sadness,Nothing matters anymore, I am just sad.
90060,sadness,I am grieving the loss of my friend.
90061,shame,I am so embarrassed I want to disappear.
